site_number,description,npv_us_dollars,PV|size_kw,Storage|size_kw,Storage|size_kwh,year_one_bill_us_dollars,year_one_bill_bau_us_dollars,net_capital_costs_plus_om_us_dollars
1,site3-No-PV,799.0,0.0,4.8,6.3296,69270.34,69996.79,6162.0
2,site3-With-PV,85121.0,,,,,,149172.0
