v2_key,v2_name,v3_key,v3_name
Generator,average_yearly_energy_exported_kwh,---,(Removed in v3)
LoadProfile,bau_sustained_time_steps,---,(Removed in v3)
LoadProfile,resilience_check_flag,---,(Removed in v3)
LoadProfile,sr_required_series_kw,---,(Removed in v3)
LoadProfile,sustain_hours,---,(Removed in v3)
LoadProfile,total_sr_provided,---,(Removed in v3)
Wind,year_one_energy_produced_kwh,---,(Removed in v3)
Profile,parse_run_outputs_seconds,---,(Removed in v3)
Profile,pre_setup_scenario_seconds,---,(Removed in v3)
Profile,reopt_bau_seconds,(not yet in v3),
Profile,reopt_seconds,(not yet in v3),
Profile,setup_scenario_seconds,---,(Removed in v3)
Scenario,lower_bound,(not yet in v3),
Scenario,optimality_gap,(not yet in v3),
AbsorptionChiller,year_one_absorp_chl_electric_consumption_kwh,AbsorptionChiller,annual_electric_consumption_kwh
AbsorptionChiller,year_one_absorp_chl_thermal_consumption_mmbtu,AbsorptionChiller,annual_thermal_consumption_mmbtu
AbsorptionChiller,year_one_absorp_chl_thermal_production_tonhr,AbsorptionChiller,annual_thermal_production_tonhour
AbsorptionChiller,year_one_absorp_chl_electric_consumption_series_kw,AbsorptionChiller,electric_consumption_series_kw
---,(Added in v3),AbsorptionChiller,size_kw
AbsorptionChiller,size_ton,AbsorptionChiller,size_ton
AbsorptionChiller,year_one_absorp_chl_thermal_consumption_series_mmbtu_per_hr,AbsorptionChiller,thermal_consumption_series_mmbtu_per_hour
AbsorptionChiller,year_one_absorp_chl_thermal_to_load_series_ton,AbsorptionChiller,thermal_to_load_series_ton
AbsorptionChiller,year_one_absorp_chl_thermal_to_tes_series_ton,AbsorptionChiller,thermal_to_storage_series_ton
Scenario,status,APIMeta (no key),status 
Scenario,api_version,APIMeta (no key),api_version 
Scenario,run_uuid,APIMeta (no key),run_uuid 
NewBoiler,year_one_boiler_fuel_consumption_mmbtu,Boiler,annual_fuel_consumption_mmbtu
NewBoiler,year_one_boiler_thermal_production_mmbtu,Boiler,annual_thermal_production_mmbtu
NewBoiler,year_one_boiler_fuel_consumption_series_mmbtu_per_hr,Boiler,fuel_consumption_series_mmbtu_per_hour
FuelTariff,total_newboiler_fuel_cost_us_dollars,Boiler,lifecycle_fuel_cost_after_tax
,,Boiler,lifecycle_fuel_cost_after_tax_bau
---,(Added in v3),Boiler (not in v3 master),lifecycle_per_unit_prod_om_costs
NewBoiler,size_mmbtu_per_hr,Boiler (not in v3 master),size_mmbtu_per_hour
NewBoiler,year_one_boiler_thermal_production_series_mmbtu_per_hr,Boiler (not in v3 master),thermal_production_series_mmbtu_per_hour
NewBoiler,year_one_thermal_to_load_series_mmbtu_per_hour,Boiler (not in v3 master),thermal_to_load_series_mmbtu_per_hour
NewBoiler,year_one_thermal_to_steamturbine_series_mmbtu_per_hour,Boiler (not in v3 master),thermal_to_steamturbine_series_mmbtu_per_hour
NewBoiler,year_one_thermal_to_tes_series_mmbtu_per_hour,Boiler (not in v3 master),thermal_to_storage_series_mmbtu_per_hour
FuelTariff,year_one_newboiler_fuel_cost_us_dollars,Boiler,year_one_fuel_cost_before_tax
,,Boiler,thermal_production_series_mmbtu_per_hour
CHP,year_one_electric_energy_produced_kwh,CHP,annual_electric_production_kwh
