v2_key,v2_field,v3_key,v3_field
AbsorptionChiller,chiller_elec_cop,AbsorptionChiller,cop_electric
AbsorptionChiller,chiller_cop,AbsorptionChiller,cop_thermal
AbsorptionChiller,installed_cost_us_dollars_per_ton,AbsorptionChiller,installed_cost_per_ton
AbsorptionChiller,macrs_bonus_pct,AbsorptionChiller,macrs_bonus_fraction
AbsorptionChiller,macrs_option_years,AbsorptionChiller,macrs_option_years
AbsorptionChiller,max_ton,AbsorptionChiller,max_ton
AbsorptionChiller,min_ton,AbsorptionChiller,min_ton
AbsorptionChiller,om_cost_us_dollars_per_ton,AbsorptionChiller,om_cost_per_ton
---,(Added in v3),AbsorptionChiller,thermal_consumption_hot_water_or_steam
Scenario,user_uuid,APIMeta,user_uuid
Scenario,webtool_uuid,APIMeta,webtool_uuid
NewBoiler,can_supply_steam_turbine,Boiler,can_supply_steam_turbine
NewBoiler,boiler_efficiency,Boiler,efficiency
FuelTariff,newboiler_fuel_blended_annual_rates_us_dollars_per_mmbtu,Boiler,fuel_cost_per_mmbtu
FuelTariff,newboiler_fuel_blended_monthly_rates_us_dollars_per_mmbtu,Boiler,fuel_cost_per_mmbtu
FuelTariff,newboiler_fuel_type,Boiler,fuel_type
NewBoiler,installed_cost_us_dollars_per_mmbtu_per_hr,Boiler,installed_cost_per_mmbtu_per_hour
NewBoiler,macrs_bonus_pct,Boiler,macrs_bonus_fraction
NewBoiler,macrs_option_years,Boiler,macrs_option_years
NewBoiler,max_mmbtu_per_hr,Boiler,max_mmbtu_per_hour
NewBoiler,min_mmbtu_per_hr,Boiler,min_mmbtu_per_hour
NewBoiler,om_cost_us_dollars_per_mmbtu,Boiler,om_cost_per_mmbtu
NewBoiler,om_cost_us_dollars_per_mmbtu_per_hr,Boiler,om_cost_per_mmbtu_per_hour
FuelTariff,newboiler_fuel_percent_RE,Boiler (not yet in v3),In the process of being updated
NewBoiler,emissions_factor_lb_CO2_per_mmbtu,Boiler (not yet in v3),In the process of being updated
NewBoiler,emissions_factor_lb_NOx_per_mmbtu,Boiler (not yet in v3),In the process of being updated
NewBoiler,emissions_factor_lb_PM25_per_mmbtu,Boiler (not yet in v3),In the process of being updated
NewBoiler,emissions_factor_lb_SO2_per_mmbtu,Boiler (not yet in v3),In the process of being updated
CHP,can_curtail,CHP,can_curtail
CHP,can_export_beyond_site_load,CHP,can_export_beyond_nem_limit
CHP,can_net_meter,CHP,can_net_meter
